FileName,ShowName,FullFileLength,SegmentID,SegmentLength,SegmentStart,SegmentEnd,SpeakerAge,SpeakerGender,SpeakerDialect,Environment,Speaker,GroundTruthText,ProcessedText,Category,SegmentPath
audio_files_16kHz/الثقافية أدب _ حس _ شعراء الجوف.wav,الثقافية,461.5663125,الثقافية أدب _ حس _ شعراء الجوف_0000,10.0,0.0,10.0,Child,Unknown,North,Music,Speaker_1,حنا ثلاثة شباب مهتمين في الشعر أنا وفهد وسعيد وحالياً متجهين إلى منطقة الجوف,حنا ثلاثة شباب مهتمين في الشعر انا وفهد وسعيد وحاليا متجهين الي منطقة الجوف,Program,/kaggle/working/segmented_south_north_16/segments/الثقافية أدب _ حس _ شعراء الجوف_0000.wav
audio_files_16kHz/الثقافية أدب _ حس _ شعراء الجوف.wav,الثقافية,461.5663125,الثقافية أدب _ حس _ شعراء الجوف_0001,10.0,9.0,19.0,Adult,Male,North,Noisy,Speaker_2,منطقة الجوف,منطقة الجوف,Program,/kaggle/working/segmented_south_north_16/segments/الثقافية أدب _ حس _ شعراء الجوف_0001.wav
audio_files_16kHz/الثقافية أدب _ حس _ شعراء الجوف.wav,الثقافية,461.5663125,الثقافية أدب _ حس _ شعراء الجوف_0002,10.0,18.0,28.0,Adult,Male,North,Music,Speaker_3,اشتركوا في القناة,اشتركوا في القناة,Program,/kaggle/working/segmented_south_north_16/segments/الثقافية أدب _ حس _ شعراء الجوف_0002.wav
audio_files_16kHz/الثقافية أدب _ حس _ شعراء الجوف.wav,الثقافية,461.5663125,الثقافية أدب _ حس _ شعراء الجوف_0003,10.0,27.0,37.0,Child,Unknown,North,Music,Speaker_4,اه الجو في منطقة شعب انا اذكر ابطي والله حافظها هنا يمكن قبل عشر سنين طويلة اهي ايه نفطر من الهرج ولا؟ الا الا,اه الجو في منطقة شعب انا اذكر ابطي والله حافظها هنا يمكن قبل عشر سنين طويلة اهي ايه نفطر من الهرج ولا الا الا,Program,/kaggle/working/segmented_south_north_16/segments/الثقافية أدب _ حس _ شعراء الجوف_0003.wav
audio_files_16kHz/الثقافية أدب _ حس _ شعراء الجوف.wav,الثقافية,461.5663125,الثقافية أدب _ حس _ شعراء الجوف_0004,10.0,36.0,46.0,Child,Female,North,Music,Speaker_5,خلينا نصب شاي أسلم يقول ماتت زوجته عنادة النماصي الشمري من أهل الجوف,خلينا نصب شاي اسلم يقول ماتت زوجته عنادة النماصي الشمري من اهل الجوف,Program,/kaggle/working/segmented_south_north_16/segments/الثقافية أدب _ حس _ شعراء الجوف_0004.wav
audio_files_16kHz/الثقافية أدب _ حس _ شعراء الجوف.wav,الثقافية,461.5663125,الثقافية أدب _ حس _ شعراء الجوف_0005,10.0,45.0,55.0,Child,Unknown,North,Music,Speaker_1,من أهل الجوف نادى النماس الشمري أسلم ماتت زوجته تعرف الآن أنت إذا توفي أحد بعيد الشر لازم تروح تحدث بطاقتها العامة,من اهل الجوف نادي النماس الشمري اسلم ماتت زوجته تعرف الان انت اذا توفي احد بعيد الشر لازم تروح تحدث بطاقتها العامة,Program,/kaggle/working/segmented_south_north_16/segments/الثقافية أدب _ حس _ شعراء الجوف_0005.wav
audio_files_16kHz/الثقافية أدب _ حس _ شعراء الجوف.wav,الثقافية,461.5663125,الثقافية أدب _ حس _ شعراء الجوف_0006,10.0,54.0,64.0,Child,Unknown,North,Noisy,Speaker_2,تحدث بطاقة تعالى العائلة اكتبو متوفية صح? ايه صح? وقرروا لازم تروح وعدز يقبل انه يكتب عندها متوفية. الله. ما يبي. ما,تحدث بطاقة تعالي العايلة اكتبو متوفية صح ايه صح وقرروا لازم تروح وعدز يقبل انه يكتب عندها متوفية الله ما يبي ما,Program,/kaggle/working/segmented_south_north_16/segments/الثقافية أدب _ حس _ شعراء الجوف_0006.wav
audio_files_16kHz/الثقافية أدب _ حس _ شعراء الجوف.wav,الثقافية,461.5663125,الثقافية أدب _ حس _ شعراء الجوف_0007,10.0,63.0,73.0,Child,Unknown,North,Noisy,Speaker_3,ما يبي يكتب عندها متوفية في بطاقة أحوال يبي يخليها معه يما وده كل ما طلع على بطاقة لكي يذكرها متوفية بعدين عاد رضى خلال أمره وقع على عزم تعدل البطاقة النظام,ما يبي يكتب عندها متوفية في بطاقة احوال يبي يخليها معه يما وده كل ما طلع علي بطاقة لكي يذكرها متوفية بعدين عاد رضي خلال امره وقع علي عزم تعدل البطاقة النظام,Program,/kaggle/working/segmented_south_north_16/segments/الثقافية أدب _ حس _ شعراء الجوف_0007.wav
audio_files_16kHz/الثقافية أدب _ حس _ شعراء الجوف.wav,الثقافية,461.5663125,الثقافية أدب _ حس _ شعراء الجوف_0008,10.0,72.0,82.0,Child,Unknown,North,Noisy,Speaker_4,النظام قال يا راعي أجيب بالله خطي تشيله تشيله يا راعي أجيب بالله خطي تشيله لأجي الدومة يمينك جنب الأحوالي,النظام قال يا راعي اجيب بالله خطي تشيله تشيله يا راعي اجيب بالله خطي تشيله لاجي الدومة يمينك جنب الاحوالي,Program,/kaggle/working/segmented_south_north_16/segments/الثقافية أدب _ حس _ شعراء الجوف_0008.wav
audio_files_16kHz/الثقافية أدب _ حس _ شعراء الجوف.wav,الثقافية,461.5663125,الثقافية أدب _ حس _ شعراء الجوف_0009,10.0,81.0,91.0,Child,Female,North,Music,Speaker_5,جنب الاحوالي الاجي الدومة هي مين جنب الاحوالي وش دومة دومة الجندل هو عايش في الجوف قال يا راعي الجيب بالله خطي تشيله الاجي الدومة,جنب الاحوالي الاجي الدومة هي مين جنب الاحوالي وش دومة دومة الجندل هو عايش في الجوف قال يا راعي الجيب بالله خطي تشيله الاجي الدومة,Program,/kaggle/working/segmented_south_north_16/segments/الثقافية أدب _ حس _ شعراء الجوف_0009.wav
